Country;Continent;GNIPPP;Health_expenditure_per_person;Income_per_person;Population median age (years);Population proportion under 15 (%);Improved_sanitation_facilities_urban;Sugar_per_person;Children_and_elderly;Personal_computers_per_100_people;Fixed_line_and_mobile_phone_subscribers;Internet_users;Electric_power_consumption;Cell_phones_per_100_people;Broadband_subscribers_per_100_people;Colon_and_Rectum_cancer_new_cases_per_100_000_women;Colon_and_Rectum_cancer_new_cases_per_100_000_men;Breast_cancer_new_cases_per_100_000_women;Prostate_cancer_new_cases_per_100_000_men;Medical_Doctors;Infant_mortality_rate;Adolescent_fertility_rate;Under_five_mortality_rate;Life_expectancy_at_birth;CO2_emissions;Agriculture_contribution_to_economy;Energy_use;Improved_water_source;Roads_paved
Kiribati;SouthAsia-Oceania;6230.0;118.0;3377.0;25.0;32.0;44.25;126.03;50.655;0.9;2.62;2.2;4570.025;0.61;0.85;10.7;14.9;27.950000000000006;7.3;0.3;48.0;26.92;66.0;73.8;0.25;7.19;2521.0;48.75;38.7
Korea, Dem. Rep.;SouthAsia-Oceania;5470.0;0.23;1596.68;32.0;24.0;43.5;8.22;48.55;6.15;1.97;11.3;816.92;41.3;0.85;15.8;24.7;20.4;3.8;1.97;42.0;1.46;55.0;67.14;3.61;9.265;898.26;75.0;6.4
Korea, Rep.;SouthAsia-Oceania;22990.0;973.0;21342.0;36.0;18.0;76.5;98.63;39.05;54.5;135.33;68.3;7778.62;79.4;25.24;15.8;24.7;20.4;7.6;1.6;5.0;3.68;5.08;78.23;9.3;3.41;4426.44;92.0;76.82
Kuwait;WestAsia;48310.0;687.0;44947.0;29.0;24.0;95.5;101.37;34.27;17.6;113.99;26.1;15345.23;88.6;0.99;9.6;7.0;31.8;9.6;1.53;10.0;13.59;11.8;77.42;40.07;0.46;11099.82;93.0;85.0
Kyrgyzstan;Europe;1790.0;29.0;1728.0;24.0;30.0;75.0;38.36;48.28;1.7;19.09;5.3;1842.13;10.3;0.05;5.8;5.0;23.0;7.7;3.1;6.0;31.36;44.1;75.88;1.08;31.95;543.99;77.0;91.1
Lao People's Democratic Republic;SouthAsia-Oceania;1740.0;18.0;1811.0;20.0;39.0;67.0;10.96;50.655;0.4;12.6;0.4;4570.025;10.8;0.0;4.8;7.4;10.9;2.4;0.7;18.0;78.65;83.4;73.8;0.23;44.31;2521.0;51.0;14.41
Latvia;Europe;14840.0;443.0;13218.0;40.0;14.0;82.0;93.15;44.94;21.9;113.14;44.6;2702.46;81.1;2.64;17.9;24.2;44.3;19.8;3.01;8.0;15.33;11.0;71.25;2.82;3.97;2049.99;99.0;100.0
Lebanon;Africa;9600.0;460.0;10212.0;27.0;28.0;100.0;93.15;55.95;11.3;40.6;19.6;2241.98;27.8;3.24;4.0;4.6;52.5;9.8;3.25;27.0;25.72;30.3;71.75;4.41;6.44;1390.52;100.0;84.9
Lesotho;Africa;1810.0;69.0;1415.0;19.0;40.0;61.0;41.1;82.29;0.7;15.03;2.9;170.3;13.9;0.0;2.5;4.5;13.1;26.7;0.05;102.0;79.91;97.9;43.09;0.215;17.03;498.59;79.0;18.3
Liberia;Africa;260.0;10.0;383.0;16.0;47.0;49.0;10.96;96.42;0.7;0.28;0.0;170.3;4.9;0.005333;3.8;4.8;18.8;15.7;0.03;157.0;221.95;143.9;45.2;0.16;65.97;498.59;61.0;6.2
Libyan Arab Jamahiriya;WestAsia;11630.0;223.0;10804.0;25.0;30.0;97.0;90.41;51.82;2.3;19.36;4.0;3299.47;5.0;0.31;3.7;4.9;23.4;5.6;1.29;18.0;3.45;19.6;73.65;9.73;8.57;3218.37;71.0;57.2
Lithuania;Europe;14550.0;448.0;14085.0;38.0;16.0;98.5;106.85;47.22;15.5;150.97;25.8;3104.0;127.1;6.86;16.8;26.5;38.5;32.3;3.97;7.0;19.66;9.0;71.56;3.89;5.66;2515.01;100.0;78.16
Luxembourg;Europe;60870.0;6330.0;70014.0;38.0;18.0;98.5;95.89;48.58;62.1;211.17;67.7;15970.76;154.8;15.35;30.8;43.6;82.5;57.2;2.7;4.0;10.54;4.3;79.57;24.15;0.42;10457.41;100.0;100.0
Macao, China;SouthAsia-Oceania;5470.0;100.97;37256.0;25.0;32.0;76.5;68.49;30.94;21.75;149.47;37.0;4570.025;115.8;14.38;10.7;14.9;27.950000000000006;7.3;0.7;18.0;4.79;27.23;80.53;4.98;0.0;2521.0;77.0;100.0
Macedonia;Europe;7850.0;224.0;7393.0;35.0;19.0;98.5;95.89;44.55;6.8;88.24;7.9;3417.0;62.0;0.61;19.0;27.6;52.1;27.5;2.19;15.0;22.84;16.4;75.88;5.02;12.78;1346.34;100.0;63.8
Madagascar;Africa;870.0;9.0;988.0;18.0;44.0;48.0;21.92;88.51;0.5;3.1;0.5;170.3;2.7;0.005333;4.1;6.7;19.5;13.8;0.29;74.0;139.45;122.6;58.9;0.16;28.16;498.59;46.0;11.6
Malawi;Africa;690.0;19.0;691.0;16.0;47.0;62.0;24.66;100.3;0.2;4.02;0.4;170.3;3.3;0.0;2.4;2.6;10.5;10.2;0.02;79.0;144.7;135.7;47.48;0.08;32.92;498.59;73.0;45.02
Malaysia;SouthAsia-Oceania;12160.0;222.0;11466.0;25.0;31.0;95.0;112.33;55.63;19.2;93.21;42.4;3261.61;75.2;1.98;15.7;19.3;30.8;8.7;0.7;10.0;13.55;12.4;73.94;10.01;8.35;2388.77;99.0;81.32
Maldives;EastAsia;4740.0;316.0;4017.0;22.0;33.0;100.0;76.71;60.86;11.0;79.37;5.8;416.995;87.9;1.1;3.4;4.85;21.65;4.4;0.92;28.0;24.44;39.0;67.74;2.05;20.805;483.33;83.0;59.44
Mali;Africa;1000.0;28.0;1027.0;16.0;48.0;59.0;30.14;105.49;0.4;8.14;0.5;170.3;7.7;0.005333;4.7;5.1;18.2;7.2;0.08;120.0;186.94;204.74;53.8;0.05;36.58;498.59;50.0;18.0
Malta;WestAsia;20990.0;1235.0;20410.0;38.0;17.0;100.0;131.51;44.17;31.5;130.38;31.7;4916.98;80.8;11.07;22.5;27.1;76.1;38.2;3.18;5.0;13.93;6.1;79.23;6.4;3.17;2351.92;100.0;87.53
Marshall Islands;SouthAsia-Oceania;8040.0;100.97;5135.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Mauritania;Africa;1970.0;17.0;1691.0;20.0;40.0;49.0;109.59;78.34;1.4;26.55;0.7;170.3;24.3;0.01;3.5;5.1;28.1;19.3;0.11;78.0;90.88;120.0;63.68;0.53;23.67;498.59;53.0;11.3
Mauritius;Africa;10640.0;218.0;10155.0;31.0;24.0;95.0;117.81;44.94;16.2;81.59;24.1;170.3;52.8;0.25;7.8;12.1;31.6;15.4;1.06;13.0;40.01;15.2;72.59;2.77;6.09;498.59;100.0;100.0
Mexico;AmericaN;11990.0;474.0;11317.0;26.0;30.0;91.0;131.51;57.7;10.7;64.66;16.9;1898.61;44.0;1.86;7.0;7.9;26.4;29.9;1.5;30.0;66.88;36.19;75.87;3.97;3.83;1712.44;97.0;36.98
Micronesia (Federated States of);SouthAsia-Oceania;6070.0;100.97;5135.0;20.0;38.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Moldova;Europe;2660.0;58.0;2362.0;33.0;19.0;86.0;82.19;45.07;2.6;52.09;13.1;1427.78;25.9;0.27;18.6;26.5;49.6;10.6;2.64;17.0;33.91;20.6;68.63;1.81;19.48;917.28;92.0;86.25
Monaco;Europe;15905.0;638.72;16267.5;38.0;18.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Mongolia;SouthAsia-Oceania;2810.0;35.0;2643.0;25.0;28.0;75.0;32.88;48.84;11.9;27.93;10.1;4570.025;21.1;0.07;3.4;4.4;6.6;3.7;2.63;36.0;46.78;50.9;66.36;3.15;24.65;2521.0;62.0;3.5
Montenegro;Europe;8930.0;638.72;16267.5;35.0;19.0;98.5;95.89;48.28;23.65;127.21;31.05;4791.165000000001;85.1;5.33;21.450000000000006;31.8;53.8;30.7;3.1;6.0;16.025;7.75;75.88;6.855;4.4849999999999985;3252.7200000000007;100.0;86.125
Morocco;WestAsia;3860.0;89.0;3547.0;25.0;30.0;88.0;98.63;55.06;2.1;45.56;15.2;643.54;40.9;0.83;5.5;5.8;22.5;6.4;0.51;36.0;19.45;42.8;70.78;1.47;13.34;458.25;81.0;61.89
Mozambique;Africa;660.0;14.0;743.0;18.0;44.0;53.0;19.18;90.19;0.6;7.66;0.9;450.16;7.6;0.005333;1.3;1.2;3.9;2.6;0.03;100.0;160.07;177.1;42.57;0.1;26.93;497.11;43.0;18.7
Myanmar;SouthAsia-Oceania;510.0;4.0;831.0;27.0;27.0;88.0;35.62;48.92;0.6;1.32;0.1;81.64;0.3;0.0005070000000000001;3.4;5.2;20.2;2.0;0.36;75.0;17.42;106.0;61.53;0.24;57.23;306.98;78.0;11.44
Namibia;Africa;4770.0;165.0;4547.0;20.0;38.0;50.0;84.93;74.09;10.9;31.39;4.0;1427.95;24.4;0.005333;3.2;4.3;24.7;21.6;0.3;46.0;63.55;86.2;52.55;1.26;12.08;682.78;87.0;12.8
Nauru;SouthAsia-Oceania;5470.0;100.97;2500.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Nepal;EastAsia;1010.0;16.0;1081.0;20.0;38.0;62.0;10.96;74.27;0.5;2.63;0.8;69.54;0.8;0.125;3.4;4.7;21.8;4.4;0.21;49.0;117.61;66.3;63.17;0.11;35.67;338.46;90.0;56.88
Netherlands;Europe;37940.0;3560.0;34724.0;39.0;18.0;100.0;142.47;48.28;68.5;143.59;74.0;6987.75;97.2;25.12;30.8;40.9;86.7;56.7;3.1;4.0;4.95;5.7;79.65;7.66;2.18;5015.3;100.0;90.0
Netherlands Antilles;AmericaS;7065.0;209.0;22700.41;25.0;31.0;88.0;120.55;47.64;7.9;59.92;0.9;5171.9;78.84;1.0750000000000002;12.0;11.7;30.9;40.6;1.4;21.0;32.27;26.4;75.08;17.69;8.405000000000001;8889.87;90.5;26.25
New Caledonia;SouthAsia-Oceania;5470.0;100.97;31942.83;25.0;32.0;76.5;63.01;50.93;6.15;80.85;32.1;4570.025;56.6;4.09;10.7;14.9;27.950000000000006;7.3;1.98;18.0;26.92;27.23;75.81;12.19;3.67;2521.0;77.0;38.7
New Zealand;SouthAsia-Oceania;25750.0;2403.0;24554.0;36.0;21.0;76.5;164.38;50.64;49.3;127.22;68.3;9656.02;87.6;8.01;42.2;53.0;91.9;100.9;2.2;5.0;24.32;6.7;79.94;7.42;7.3;4090.33;97.0;64.89
Nicaragua;AmericaS;2720.0;75.0;2611.0;21.0;37.0;56.0;98.63;71.96;3.5;24.54;2.4;414.09;19.2;0.19;10.6;5.2;23.9;34.0;0.37;30.0;115.36;38.2;72.38;0.72;19.07;610.52;79.0;11.36
Niger;Africa;630.0;9.0;613.0;16.0;48.0;43.0;16.44;104.51;0.1;2.62;0.2;170.3;2.3;0.0;3.6;4.7;23.3;10.8;0.03;150.0;205.98;197.5;56.27;0.09;39.86;498.59;46.0;20.61
Nigeria;Africa;1410.0;27.0;1892.0;18.0;44.0;53.0;30.14;89.62;0.7;14.01;3.8;126.6;14.1;0.000354;3.9;5.8;31.2;23.3;0.28;100.0;136.66;196.6;46.8;0.89;23.35;734.21;48.0;15.0
Niue;SouthAsia-Oceania;5470.0;100.97;5135.0;25.0;34.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Norway;Europe;50070.0;5910.0;47551.0;38.0;19.0;98.5;120.55;52.11;57.8;148.89;58.5;25137.46;102.9;21.44;37.1;43.4;74.8;81.8;3.1;3.0;8.86;4.2;80.29;11.52;1.6;6948.5;100.0;77.5
Oman;WestAsia;19740.0;312.0;20334.0;23.0;33.0;97.0;93.15;57.26;4.9;63.76;11.1;3756.62;51.9;0.33;3.1;4.7;13.2;9.7;1.32;10.0;11.32;12.9;75.28;10.48;1.86;5569.91;82.0;27.66
Pakistan;EastAsia;2410.0;15.0;2396.0;21.0;36.0;92.0;73.97;69.64;0.4;11.55;6.8;456.22;8.3;0.03;5.1;5.0;50.1;5.6;0.74;79.0;30.16;96.88;65.01;0.83;21.47;490.0;91.0;64.7
Palau;SouthAsia-Oceania;14340.0;100.97;5135.0;25.0;32.0;76.5;68.49;50.655;6.15;44.505;11.3;4570.025;41.3;0.85;10.7;14.9;27.950000000000006;7.3;0.7;18.0;26.92;27.23;73.8;3.15;9.265;2521.0;77.0;38.7
Panama;AmericaS;8690.0;351.0;8399.0;26.0;30.0;89.0;87.67;57.11;4.1;66.91;6.4;1499.61;52.5;0.54;11.2;12.1;29.0;46.0;1.5;19.0;85.16;23.9;75.33;1.87;8.05;803.96;90.0;34.6
